transaction_id,user_id,recipient_id,recipient_name,recipient_upi,amount,timestamp,transaction_type,device_id,location,is_known_recipient,is_known_device,recent_transaction_count,failed_attempts,scenario_id,label
TXN_U035_03543,U035,REC_U035_02,Neha Rao (Landlord),neha.rent@okhdfcbank,34500.0,2026-05-24T06:50:02.968175,RENT,DEV_AARYAN_REDMI_NOTE13,Mumbai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U079_08058,U079,REC_U079_03,Sneha Bhatia,sneha.fam@phonepe,2320.0,2026-05-24T07:24:56.111023,P2P,DEV_DHRUV_PIXEL8,Chennai,True,True,2,0,NORMAL,LEGITIMATE
TXN_U062_06230,U062,REC_U062_01,Daily Fresh,dailyfresh@paytm,1480.0,2026-05-24T07:31:57.630469,P2P,DEV_SIDDHARTH_GALAXY_S24,Mumbai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U063_06350,U063,REC_U063_04,Tata Power,tatapower@billpay,2080.0,2026-05-24T07:40:53.937773,P2P,DEV_SWATI_REDMI_NOTE13,Mumbai,True,True,1,0,NORMAL,LEGITIMATE
TXN_U045_04487,U045,REC_U045_02,Shaurya Agarwal (Landlord),shaurya.rent@okhdfcbank,1170.0,2026-05-24T08:26:48.584888,P2P,DEV_ROSHNI_ONEPLUS_12,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U062_06270,U062,REC_U062_02,Kavya Kulkarni (Landlord),kavya.rent@okhdfcbank,2800.0,2026-05-24T08:38:53.406986,P2P,DEV_SIDDHARTH_GALAXY_S24,Mumbai,True,True,2,0,NORMAL,LEGITIMATE
TXN_U032_03225,U032,REC_U032_03,Kunal Mukherjee,kunal.fam@phonepe,790.0,2026-05-24T08:47:18.018514,P2P,DEV_ADVAITH_PIXEL8,Delhi-NCR,True,True,1,0,NORMAL,LEGITIMATE
TXN_U019_01882,U019,REC_U019_01,Apna Bazaar,apnabazaar@paytm,280.0,2026-05-24T08:55:03.952877,P2P,DEV_ADVAITH_IPHONE15,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U063_06341,U063,REC_U063_04,Tata Power,tatapower@billpay,1950.0,2026-05-24T09:10:13.717732,P2P,DEV_SWATI_REDMI_NOTE13,Mumbai,True,True,1,0,NORMAL,LEGITIMATE
TXN_U040_04015,U040,REC_U040_01,Daily Fresh,dailyfresh@paytm,1190.0,2026-05-24T09:11:03.589449,P2P,DEV_KRISHNA_IPHONE15,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U042_04184,U042,REC_U042_02,Aanya Menon (Landlord),aanya.rent@okhdfcbank,1250.0,2026-05-24T09:12:50.890016,P2P,DEV_RIYA_ONEPLUS_12,Bengaluru,True,True,3,0,NORMAL,LEGITIMATE
TXN_U069_07016,U069,REC_U069_01,Reliance Smart,reliancesmart@paytm,20.0,2026-05-24T09:20:42.802769,P2P,DEV_ISHA_PIXEL8,Ahmedabad,True,True,3,0,NORMAL,LEGITIMATE
TXN_U052_05221,U052,REC_U052_02,Aditya Mehta (Landlord),aditya.rent@okhdfcbank,610.0,2026-05-24T09:21:57.769025,P2P,DEV_ANUSHKA_MACBOOK_PRO,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U090_09151,U090,REC_U090_03,Ananya Sharma,ananya.fam@phonepe,9280.0,2026-05-24T09:22:23.349288,P2P,DEV_AANYA_ONEPLUS_12,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U022_02144,U022,REC_U022_02,Navya Menon (Landlord),navya.rent@okhdfcbank,20.0,2026-05-24T09:40:18.622882,P2P,DEV_KABIR_GALAXY_S24,Chennai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U092_09323,U092,REC_U092_03,Dhruv Joshi,dhruv.fam@phonepe,5180.0,2026-05-24T09:44:51.162179,P2P,DEV_SAANVI_ONEPLUS_12,Delhi-NCR,True,True,2,0,NORMAL,LEGITIMATE
TXN_U002_00137,U002,REC_U002_04,MSEDCL,msedcl@billpay,530.0,2026-05-24T09:47:50.483327,P2P,DEV_SARA_PIXEL8,Mumbai,True,True,1,0,NORMAL,LEGITIMATE
TXN_U086_08704,U086,REC_U086_01,Apna Bazaar,apnabazaar@paytm,77490.0,2026-05-24T09:47:58.946416,P2M,DEV_SWATI_GALAXY_S24,Pune,True,True,1,0,AMOUNT_SPIKE,UNUSUAL_LEGITIMATE
TXN_U068_06920,U068,REC_U068_03,Ishaan Mukherjee,ishaan.fam@phonepe,1720.0,2026-05-24T09:49:55.707155,P2P,DEV_DIVYA_PIXEL8,Bengaluru,True,True,1,0,NORMAL,LEGITIMATE
TXN_U012_01125,U012,REC_RAPID_1125,QuickTransfer Agent,rapidpay@okhdfc,640.0,2026-05-24T09:54:12.135668,P2P,DEV_MUHAMMAD_MACBOOK_PRO,Mumbai,False,True,6,2,VELOCITY_ANOMALY,SUSPICIOUS
TXN_U003_00273,U003,REC_U003_04,BESCOM,bescom@billpay,360.0,2026-05-24T10:01:25.422294,P2P,DEV_SURESH_MACBOOK_PRO,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U043_04270,U043,REC_U043_04,MSEDCL,msedcl@billpay,920.0,2026-05-24T10:03:44.135756,P2P,DEV_SARA_ONEPLUS_12,Mumbai,True,True,2,0,NORMAL,LEGITIMATE
TXN_U030_02990,U030,REC_U030_03,Advaith Menon,advaith.fam@phonepe,60.0,2026-05-24T10:10:45.284331,P2P,DEV_KRISHNA_ONEPLUS_12,Mumbai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U034_RENT_M3,U034,REC_U034_02,Suresh Mishra (Landlord),suresh.rent@okhdfcbank,24800.0,2026-05-24T10:10:53.564717,RENT,DEV_AARYAN_GALAXY_S24,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U036_RENT_M3,U036,REC_U036_02,Sai Ghosh (Landlord),sai.rent@okhdfcbank,25100.0,2026-05-24T10:10:53.564717,RENT,DEV_KAVYA_MACBOOK_PRO,Chennai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U053_RENT_M3,U053,REC_U053_02,Sai Joshi (Landlord),sai.rent@okhdfcbank,28500.0,2026-05-24T10:10:53.564717,RENT,DEV_SHAURYA_PIXEL8,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U043_RENT_M3,U043,REC_U043_02,Deepa Deshmukh (Landlord),deepa.rent@okhdfcbank,45900.0,2026-05-24T10:11:53.564717,RENT,DEV_SARA_ONEPLUS_12,Mumbai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U048_RENT_M3,U048,REC_U048_02,Avani Das (Landlord),avani.rent@okhdfcbank,27700.0,2026-05-24T10:11:53.564717,RENT,DEV_AYAAN_MACBOOK_PRO,Chennai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U098_RENT_M3,U098,REC_U098_02,Amit Das (Landlord),amit.rent@okhdfcbank,42100.0,2026-05-24T10:12:53.564717,RENT,DEV_AVANI_REDMI_NOTE13,Ahmedabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U062_RENT_M3,U062,REC_U062_02,Kavya Kulkarni (Landlord),kavya.rent@okhdfcbank,23500.0,2026-05-24T10:14:53.564717,RENT,DEV_SIDDHARTH_GALAXY_S24,Mumbai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U066_RENT_M3,U066,REC_U066_02,Deepa Chopra (Landlord),deepa.rent@okhdfcbank,51800.0,2026-05-24T10:14:53.564717,RENT,DEV_ISHAAN_IPHONE15,Ahmedabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U082_RENT_M3,U082,REC_U082_02,Nikhil Patel (Landlord),nikhil.rent@okhdfcbank,18300.0,2026-05-24T10:14:53.564717,RENT,DEV_SHREYA_ONEPLUS_12,Bengaluru,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U021_RENT_M3,U021,REC_U021_02,Tanvi Rao (Landlord),tanvi.rent@okhdfcbank,49600.0,2026-05-24T10:15:53.564717,RENT,DEV_PALLAVI_ONEPLUS_12,Bengaluru,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U035_RENT_M3,U035,REC_U035_02,Neha Rao (Landlord),neha.rent@okhdfcbank,34500.0,2026-05-24T10:15:53.564717,RENT,DEV_AARYAN_REDMI_NOTE13,Mumbai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U024_RENT_M3,U024,REC_U024_02,Kavya Kapoor (Landlord),kavya.rent@okhdfcbank,22700.0,2026-05-24T10:18:53.564717,RENT,DEV_VIKRAM_MACBOOK_PRO,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U090_RENT_M3,U090,REC_U090_02,Krishna Joshi (Landlord),krishna.rent@okhdfcbank,42500.0,2026-05-24T10:22:53.564717,RENT,DEV_AANYA_ONEPLUS_12,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U067_RENT_M3,U067,REC_U067_02,Kunal Pillai (Landlord),kunal.rent@okhdfcbank,36000.0,2026-05-24T10:23:53.564717,RENT,DEV_TANVI_ONEPLUS_12,Delhi-NCR,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U085_RENT_M3,U085,REC_U085_02,Sara Agarwal (Landlord),sara.rent@okhdfcbank,39500.0,2026-05-24T10:24:53.564717,RENT,DEV_AARYAN_REDMI_NOTE13,Chennai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U028_RENT_M3,U028,REC_U028_02,Gaurav Chopra (Landlord),gaurav.rent@okhdfcbank,17600.0,2026-05-24T10:25:53.564717,RENT,DEV_MANISH_PIXEL8,Delhi-NCR,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U100_RENT_M3,U100,REC_U100_02,Dhruv Chopra (Landlord),dhruv.rent@okhdfcbank,45200.0,2026-05-24T10:25:53.564717,RENT,DEV_ANANYA_ONEPLUS_12,Bengaluru,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U060_RENT_M3,U060,REC_U060_02,Sara Banerjee (Landlord),sara.rent@okhdfcbank,19000.0,2026-05-24T10:28:53.564717,RENT,DEV_AARYAN_REDMI_NOTE13,Chennai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U023_RENT_M3,U023,REC_U023_02,Aadhya Agarwal (Landlord),aadhya.rent@okhdfcbank,32400.0,2026-05-24T10:29:53.564717,RENT,DEV_SIDDHARTH_ONEPLUS_12,Delhi-NCR,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U038_RENT_M3,U038,REC_U038_02,Arjun Mishra (Landlord),arjun.rent@okhdfcbank,31000.0,2026-05-24T10:29:53.564717,RENT,DEV_DHRUV_GALAXY_S24,Mumbai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U099_RENT_M3,U099,REC_U099_02,Riya Rao (Landlord),riya.rent@okhdfcbank,39600.0,2026-05-24T10:32:53.564717,RENT,DEV_PALLAVI_REDMI_NOTE13,Hyderabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U091_RENT_M3,U091,REC_U091_02,Amit Pillai (Landlord),amit.rent@okhdfcbank,17000.0,2026-05-24T10:37:53.564717,RENT,DEV_ARNAV_ONEPLUS_12,Hyderabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U054_RENT_M3,U054,REC_U054_02,Fatima Das (Landlord),fatima.rent@okhdfcbank,33900.0,2026-05-24T10:38:53.564717,RENT,DEV_AARAV_REDMI_NOTE13,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U026_RENT_M3,U026,REC_U026_02,Aarav Das (Landlord),aarav.rent@okhdfcbank,41200.0,2026-05-24T10:39:53.564717,RENT,DEV_ANANYA_MACBOOK_PRO,Hyderabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U071_07236,U071,REC_U071_02,Gaurav Mukherjee (Landlord),gaurav.rent@okhdfcbank,26300.0,2026-05-24T10:45:24.247115,RENT,DEV_ISHA_REDMI_NOTE13,Kolkata,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U047_RENT_M3,U047,REC_U047_02,Riya Chopra (Landlord),riya.rent@okhdfcbank,20000.0,2026-05-24T10:45:53.564717,RENT,DEV_VIKRAM_MACBOOK_PRO,Chennai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U088_RENT_M3,U088,REC_U088_02,Siddharth Deshmukh (Landlord),siddharth.rent@okhdfcbank,43400.0,2026-05-24T10:48:53.564717,RENT,DEV_PRIYA_REDMI_NOTE13,Delhi-NCR,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U081_RENT_M3,U081,REC_U081_02,Advaith Verma (Landlord),advaith.rent@okhdfcbank,36700.0,2026-05-24T10:52:53.564717,RENT,DEV_ADITYA_GALAXY_S24,Mumbai,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U025_RENT_M3,U025,REC_U025_02,Fatima Chopra (Landlord),fatima.rent@okhdfcbank,41600.0,2026-05-24T10:53:53.564717,RENT,DEV_ANUSHKA_REDMI_NOTE13,Hyderabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U057_RENT_M3,U057,REC_U057_02,Advik Chopra (Landlord),advik.rent@okhdfcbank,47500.0,2026-05-24T10:54:53.564717,RENT,DEV_VIHAAN_IPHONE15,Hyderabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U078_RENT_M3,U078,REC_U078_02,Suresh Patel (Landlord),suresh.rent@okhdfcbank,46800.0,2026-05-24T10:55:53.564717,RENT,DEV_KIARA_PIXEL8,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U099_10124,U099,REC_U099_03,Vihaan Joshi,vihaan.fam@phonepe,1640.0,2026-05-24T10:58:54.465742,P2P,DEV_PALLAVI_REDMI_NOTE13,Hyderabad,True,True,2,0,NORMAL,LEGITIMATE
TXN_U022_02179,U022,REC_NEW_2179,Rohan Deshmukh,rohan.d88@okaxis,730.0,2026-05-24T11:00:04.865533,P2P,DEV_KABIR_GALAXY_S24,Chennai,False,True,1,0,NEW_RECIPIENT,LEGITIMATE
TXN_U082_08308,U082,REC_U082_03,Anushka Kapoor,anushka.fam@phonepe,6750.0,2026-05-24T11:12:22.961677,P2P,DEV_SHREYA_ONEPLUS_12,Bengaluru,True,True,3,0,NORMAL,LEGITIMATE
TXN_U085_08638,U085,REC_U085_04,Adani Electricity,adanielectricity@billpay,7210.0,2026-05-24T11:33:45.602230,P2P,DEV_AARYAN_REDMI_NOTE13,Chennai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U090_09129,U090,REC_U090_02,Krishna Joshi (Landlord),krishna.rent@okhdfcbank,5090.0,2026-05-24T11:57:12.345975,P2P,DEV_AANYA_ONEPLUS_12,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U095_09643,U095,REC_U095_04,Airtel Fiber,airtelfiber@billpay,2150.0,2026-05-24T12:13:20.393435,P2P,DEV_AVANI_MACBOOK_PRO,Ahmedabad,True,True,2,0,NORMAL,LEGITIMATE
TXN_U093_09504,U093,REC_U093_03,Arnav Kapoor,arnav.fam@phonepe,4330.0,2026-05-24T12:39:32.315347,P2P,DEV_ADITYA_IPHONE15,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U054_05421,U054,REC_NEW_5421,Rohan Deshmukh,rohan.d88@okaxis,670.0,2026-05-24T12:42:05.262844,P2P,DEV_AARAV_REDMI_NOTE13,Pune,False,True,1,0,NEW_RECIPIENT,LEGITIMATE
TXN_U084_08506,U084,REC_U084_02,Anushka Gupta (Landlord),anushka.rent@okhdfcbank,9440.0,2026-05-24T12:49:52.048576,P2P,DEV_SWATI_PIXEL8,Delhi-NCR,True,True,1,0,NORMAL,LEGITIMATE
TXN_U003_00267,U003,REC_U003_03,Arjun Singhal,arjun.fam@phonepe,360.0,2026-05-24T13:26:06.252615,P2P,DEV_SURESH_MACBOOK_PRO,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U067_06769,U067,REC_U067_02,Kunal Pillai (Landlord),kunal.rent@okhdfcbank,4370.0,2026-05-24T13:31:01.512410,P2P,DEV_TANVI_ONEPLUS_12,Delhi-NCR,True,True,2,0,NORMAL,LEGITIMATE
TXN_U049_04963,U049,REC_U049_02,Dhruv Malhotra (Landlord),dhruv.rent@okhdfcbank,2000.0,2026-05-24T13:31:14.736422,P2P,DEV_REYANSH_ONEPLUS_12,Delhi-NCR,True,True,2,0,NORMAL,LEGITIMATE
TXN_U017_01682,U017,REC_U017_03,Krishna Mishra,krishna.fam@phonepe,390.0,2026-05-24T13:34:47.909355,P2P,DEV_FATIMA_PIXEL8,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U090_09164,U090,REC_U090_02,Krishna Joshi (Landlord),krishna.rent@okhdfcbank,9730.0,2026-05-24T13:55:04.349358,P2P,DEV_AANYA_ONEPLUS_12,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U012_01195,U012,REC_NEW_1195,Rohan Deshmukh,rohan.d88@okaxis,320.0,2026-05-24T14:53:50.801253,P2P,DEV_MUHAMMAD_MACBOOK_PRO,Mumbai,False,True,1,0,NEW_RECIPIENT,LEGITIMATE
TXN_U033_03296,U033,REC_U033_04,MSEDCL,msedcl@billpay,1500.0,2026-05-24T14:57:52.905431,P2P,DEV_SWATI_GALAXY_S24,Mumbai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U081_08191,U081,REC_U081_03,Dhruv Mehta,dhruv.fam@phonepe,5930.0,2026-05-24T15:01:27.453559,P2P,DEV_ADITYA_GALAXY_S24,Mumbai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U010_00976,U010,REC_U010_01,Reliance Smart,reliancesmart@paytm,390.0,2026-05-24T15:04:29.072995,P2P,DEV_PALLAVI_ONEPLUS_12,Ahmedabad,True,True,2,0,NORMAL,LEGITIMATE
TXN_U023_02263,U023,REC_U023_03,Navya Ghosh,navya.fam@phonepe,810.0,2026-05-24T15:19:04.415758,P2P,DEV_SIDDHARTH_ONEPLUS_12,Delhi-NCR,True,True,2,0,NORMAL,LEGITIMATE
TXN_U001_00014,U001,REC_U001_04,Tata Power,tatapower@billpay,330.0,2026-05-24T15:20:39.990167,P2P,DEV_AANYA_MACBOOK_PRO,Bengaluru,True,True,1,0,NORMAL,LEGITIMATE
TXN_U061_06197,U061,REC_U061_03,Tanvi Ghosh,tanvi.fam@phonepe,3330.0,2026-05-24T15:29:45.342428,P2P,DEV_GAURAV_GALAXY_S24,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U059_05928,U059,REC_U059_02,Nikhil Chauhan (Landlord),nikhil.rent@okhdfcbank,48900.0,2026-05-24T15:31:33.374225,RENT,DEV_SAANVI_ONEPLUS_12,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U025_02481,U025,REC_U025_04,BESCOM,bescom@billpay,1640.0,2026-05-24T15:34:16.396558,P2P,DEV_ANUSHKA_REDMI_NOTE13,Hyderabad,True,True,2,0,NORMAL,LEGITIMATE
TXN_U095_09674,U095,REC_U095_03,Anushka Mishra,anushka.fam@phonepe,1870.0,2026-05-24T15:38:40.350595,P2P,DEV_AVANI_MACBOOK_PRO,Ahmedabad,True,True,3,0,NORMAL,LEGITIMATE
TXN_U058_05909,U058,REC_U058_04,MSEDCL,msedcl@billpay,3920.0,2026-05-24T15:47:38.269706,P2P,DEV_TANVI_GALAXY_S24,Mumbai,True,True,1,0,NORMAL,LEGITIMATE
TXN_U026_02588,U026,REC_U026_04,Airtel Fiber,airtelfiber@billpay,540.0,2026-05-24T15:50:22.906518,P2P,DEV_ANANYA_MACBOOK_PRO,Hyderabad,True,True,2,0,NORMAL,LEGITIMATE
TXN_U099_10061,U099,REC_U099_02,Riya Rao (Landlord),riya.rent@okhdfcbank,20.0,2026-05-24T15:59:08.601402,P2P,DEV_PALLAVI_REDMI_NOTE13,Hyderabad,True,True,3,0,NORMAL,LEGITIMATE
TXN_U080_08143,U080,REC_U080_03,Roshni Sharma,roshni.fam@phonepe,3600.0,2026-05-24T16:03:09.556490,P2P,DEV_POOJA_REDMI_NOTE13,Delhi-NCR,True,True,1,0,NORMAL,LEGITIMATE
TXN_U053_05350,U053,REC_U053_01,Reliance Smart,reliancesmart@paytm,1000.0,2026-05-24T16:13:56.600500,P2P,DEV_SHAURYA_PIXEL8,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U044_04449,U044,REC_U044_03,Kabir Mukherjee,kabir.fam@phonepe,1290.0,2026-05-24T16:17:02.282761,P2P,DEV_MANISH_ONEPLUS_12,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U042_04196,U042,REC_NEW_4196,Rohan Deshmukh,rohan.d88@okaxis,1090.0,2026-05-24T16:17:59.112008,P2P,DEV_RIYA_ONEPLUS_12,Bengaluru,False,True,1,0,NEW_RECIPIENT,LEGITIMATE
